ContractNumber,VendorName,ContractStartDate,ContractStopDate,NDCWithDashes,SubItemIdentifier,PackageDescription,Generic,TradeName,VAClass,Covered,PrimeVendor,Price,PriceStartDate,PriceStopDate,PriceType,Non-TAA
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0007-12,,108ML,"IBRUTINIB 70MG/ML SUSP,ORAL","IBRUTINIB 70MG/ML SUSP,ORAL",AN900,T,T,9013.59,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0014-28,,28,"IBRUTINIB 140MG TAB,ORAL",IMBRUVICA 140MG TABLET,AN900,T,T,13065.16,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0070-28,,28,"IBRUTINIB 70MG CAP,ORAL",IMBRUVICA 70MG CAPSULE,AN900,T,T,13065.16,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0140-09,,90,"IBRUTINIB 140MG CAP,ORAL",IMBRUVICA,AN900,T,T,13998.37,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0140-12,,120,"IBRUTINIB 140MG CAP,ORAL",IMBRUVICA,AN900,T,T,18664.49,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0280-28,,28,"IBRUTINIB 280MG TAB,ORAL",IMBRUVICA 280MG TABLET,AN900,T,T,13065.16,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0420-28,,28,"IBRUTINIB 420MG TAB,ORAL",IMBRUVICA 420MG TABLET,AN900,T,T,13065.16,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0275,"Pharmacyclics, LLC",11/01/2017,08/28/2025,57962-0560-28,,28,"IBRUTINIB 560MG TAB,ORAL",IMBRUVICA 560MG TABLET,AN900,T,T,13065.16,01/01/2025,08/28/2025,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,04/14/2025,47426-0101-06,,1,"GRANISETRON 10MG/0.4ML INJ,SYRINGE KIT","SUSTOL 10MG/0.4ML INJ,SYRINGE KIT",GA605,T,T,673.79,01/01/2025,04/14/2025,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,04/14/2025,47426-0201-01,,18ML,"APREPITANT 130MG/18ML INJ,EMULSION","CINVANTI 130MG/18ML INJ,EMULSION",GA605,T,T,163.93,01/01/2025,04/14/2025,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,04/14/2025,47426-0301-02,,14ML,BUPIVACAINE 400MG/MELOXICAM 12MG/VIAL SOLN,ZYNRELEF 400MG/12MG,CN205,T,T,274.71,01/01/2025,04/14/2025,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,04/14/2025,47426-0303-01,,7ML,BUPIVACAINE 200MG/MELOXICAM 6MG/VIAL SOLN,ZYNRELEF 200MG/6MG,CN205,T,T,139.16,01/01/2025,04/14/2025,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,04/14/2025,47426-0401-10,,10X4.4ML,"APREPITANT 32MG/4.4ML INJ,EMULSION,VIL","APONVIE 32MG/4.4ML INJ,EMULSION,VIL",GA605,T,T,434.15,01/01/2025,04/14/2025,FSS,Compliant
36F79718D0285,"Heron Therapeutics, Inc.",10/15/2017,04/14/2025,47426-0501-02,,14ML,BUPIVACAINE 400MG/MELOXICAM 12MG/VIAL SOLN,ZYNRELEF 400MG/12MG,CN205,T,T,274.71,02/01/2025,04/14/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0533-01,,30ML,PRE PROTEIN-15 (CHERRY),PRE PROTEIN-15 (CHERRY),TN200,F,T,0.71,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0533-10,,30ML,PRE PROTEIN-15 (CHERRY),PRE PROTEIN-15 (CHERRY),TN200,F,T,0.71,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0533-16,,480ML,PRE PROTEIN-15 (CHERRY),PRE PROTEIN-15 (CHERRY),TN200,F,T,11.96,03/15/2018,07/31/2025,FSS,Compliant
36F79718D0349,Novis PR LLC dba Kramer-Novis,03/15/2018,07/31/2025,52083-0540-90,,90,PRE PROTEIN TABLETS,PRE PROTEIN TABLETS,TN200,F,T,22.11,03/15/2018,07/31/2025,FSS,Compliant
